country_code,country_name,region,income_level,capital_city,longitude,latitude,is_fragile_or_conflict,gdp_growth_pct,gdp_growth_pct_year,gdp_per_capita_usd,gdp_per_capita_usd_year,population,population_year,pop_growth_pct,pop_growth_pct_year,urban_pop_pct,urban_pop_pct_year,internet_users_pct,internet_users_pct_year,mobile_subs_per100,mobile_subs_per100_year,life_expectancy,life_expectancy_year,inflation_pct,inflation_pct_year,unemployment_pct,unemployment_pct_year,self_employed_pct,self_employed_pct_year,agriculture_pct_gdp,agriculture_pct_gdp_year,poverty_headcount_pct,poverty_headcount_pct_year,business_reg_rating,business_reg_rating_year
LTU,Lithuania,Europe & Central Asia,High income,Vilnius,25.2799,54.6896,False,2.92007656461696,2025.0,32958.6706396386,2025.0,2888774,2025,0.0171713878019065,2025,69.0816381352764,2025,89.16116293,2025.0,,,77.1951219512195,2024,3.79170510860467,2025.0,6.731,2025.0,11.4987731599512,2025.0,2.27149750051117,2025.0,1.1,2025.0,,
LUX,Luxembourg,Europe & Central Asia,High income,Luxembourg,6.1296,49.61,False,0.63787818818335,2025.0,147252.179121515,2025.0,686970,2025,1.46016251329208,2025,94.8841729598587,2025,99.12902211,2025.0,,,83.1951219512195,2024,2.25723817871726,2025.0,6.343,2025.0,10.3375808522493,2025.0,0.232212272400724,2025.0,0.1,2025.0,,
LVA,Latvia,Europe & Central Asia,High income,Riga,24.1048,56.9465,False,2.13786855731288,2025.0,26311.9730706362,2025.0,1847785,2025,-0.987592806179397,2025,68.6325719753517,2025,92.70757011,2025.0,,,76.4292682926829,2024,3.74577316751945,2025.0,6.568,2025.0,13.6573699083824,2025.0,4.0095997344873,2025.0,0.4,2025.0,,
MAC,"Macao SAR, China",East Asia & Pacific,High income,,113.55,22.1667,False,4.67106705680436,2025.0,75901.7461294198,2025.0,685900,2025,-0.160244771707362,2025,100.0,2025,89.82640076,2025.0,,,83.3317073170732,2024,0.333311677308542,2025.0,2.347,2025.0,6.7617917100705,2025.0,,,,,,
MAF,St. Martin (French part),Latin America & Caribbean ,High income,Marigot,,,False,,,,,24941,2025,-4.65327729336626,2025,100.0,2025,,,,,80.438,2024,,,,,,,,,,,,
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Rabat,-6.8704,33.9905,False,4.59524349182247,2025.0,4672.46826171875,2025.0,38430770,2025,0.913842778572571,2025,63.1278612260269,2025,91.2,2025.0,,,75.493,2024,0.701902154839545,2025.0,9.0,2025.0,40.0640986604354,2025.0,10.5468998514808,2025.0,,,,
MCO,Monaco,Europe & Central Asia,High income,Monaco,7.41891,43.7325,False,,,,,38341,2025,-0.753524326194984,2025,100.0,2025,99.04489899,2025.0,,,86.497,2024,,,,,,,,,,,,
MDA,Moldova,Europe & Central Asia,Upper middle income,Chisinau,28.8497,47.0167,False,2.41649734575068,2025.0,8621.71721623786,2025.0,2360527,2025,-1.75442101889586,2025,43.7336240404545,2025,77.3687973,2025.0,,,71.332,2024,7.75904124001159,2025.0,1.505,2025.0,58.7823974553907,2025.0,7.37632402548248,2025.0,0.1,2025.0,4.0,2025.0
MDG,Madagascar,Sub-Saharan Africa ,Low income,Antananarivo,45.7167,-20.4667,False,3.002568866856,2025.0,599.265294255357,2025.0,32740678,2025,2.39781026296956,2025,32.9017070836898,2025,18.67790031,2025.0,,,63.835,2024,8.05052431791227,2025.0,3.041,2025.0,88.3198131654764,2025.0,21.702530751089,2025.0,69.2,2025.0,3.0,2025.0
MDV,Maldives,South Asia,Upper middle income,Male,73.5109,4.1742,False,6.31092335003081,2025.0,14614.7208116541,2025.0,529676,2025,0.35499694483684,2025,42.5061567995467,2025,85.23999786,2025.0,,,81.285,2024,4.00578494118752,2025.0,4.514,2025.0,20.0469185655225,2025.0,4.59079378253004,2025.0,0.0,2025.0,3.0,2025.0
MEX,Mexico,Latin America & Caribbean ,Upper middle income,Mexico City,-99.1276,19.427,False,0.561683456144578,2025.0,13889.2339628708,2025.0,131946900,2025,0.826382426690595,2025,80.0408930629723,2025,83.12233799,2025.0,,,75.264,2024,3.80668650726485,2025.0,2.673,2025.0,30.8452432024311,2025.0,3.88408341898948,2025.0,1.6,2025.0,,
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,Majuro,171.135,7.11046,True,2.28310502283105,2025.0,8489.05793506422,2025.0,36282,2025,-3.42983639556145,2025,79.105503091452,2025,65.915802,2025.0,,,67.075,2024,,,,,,,,,2.1,2025.0,2.5,2025.0
MKD,North Macedonia,Europe & Central Asia,Upper middle income,Skopje,21.4361,42.0024,False,3.48706619829503,2025.0,10489.9255355525,2025.0,1820909,2025,-0.189286550678574,2025,62.8909857826036,2025,93.1,2025.0,,,76.6165853658537,2024,4.07249176848348,2025.0,12.256,2025.0,16.5865607606679,2025.0,5.97689638001405,2025.0,3.9,2025.0,,
MLI,Mali,Sub-Saharan Africa ,Low income,Bamako,-7.50034,13.5667,True,5.59946842896643,2025.0,1193.27601004701,2025.0,25198821,2025,2.89981455024173,2025,32.2127137183989,2025,36.80149841,2025.0,,,60.675,2024,3.27823540357584,2025.0,2.831,2025.0,76.3544354729942,2025.0,33.0195835270972,2025.0,36.1,2025.0,3.0,2025.0
